"cell","Area","X","Y","Perim.","Major","Minor","Angle","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
334,0,16.192,26.215,0,0.015,0.015,0,0,0,1231,1993,0,0,0,0,NA
335,1.698,0,0,5.414,2.259,0.957,21.87,0.728,2.383,1218,2075,25.858,0.972,2.359,0.424,1
336,1.676,0,0,5.018,1.986,1.075,122.663,0.837,2.043,1609,2034,124.509,1.114,1.847,0.541,0.999
337,0,23.4,26.346,0,0.015,0.015,0,0,0,1779,2003,0,0,0,0,NA
338,0.868,0,0,3.473,1.309,0.845,67.074,0.905,1.339,1981,2002,67.467,0.865,1.549,0.646,0.998
339,1.249,0,0,4.311,1.671,0.952,178.063,0.845,1.77,2149,2016,174.883,0.959,1.756,0.569,1.001
340,0,30.266,26.399,0,0.015,0.015,0,0,0,2301,2007,0,0,0,0,NA
341,0,32.673,26.517,0,0.015,0.015,0,0,0,2484,2016,0,0,0,0,NA
342,0,9.049,28.609,0,0.015,0.015,0,0,0,688,2175,0,0,0,0,NA
343,0,11.259,29.135,0,0.015,0.015,0,0,0,856,2215,0,0,0,0,NA
344,0,13.732,28.766,0,0.015,0.015,0,0,0,1044,2187,0,0,0,0,NA
345,2.525,0,0,5.865,2.109,1.525,76.418,0.923,2.201,1198,2396,82.79,1.508,1.383,0.723,0.997
346,2.479,0,0,5.909,2.179,1.448,32.537,0.892,2.336,1428,2139,27.864,1.51,1.504,0.665,1
347,1.34,0,0,4.391,1.612,1.058,131.98,0.873,1.777,1620,2202,128.991,1.103,1.523,0.657,0.994
348,0,23.281,28.898,0,0.015,0.015,0,0,0,1770,2197,0,0,0,0,NA
349,0,25.649,28.701,0,0.015,0.015,0,0,0,1950,2182,0,0,0,0,NA
350,0,28.214,28.74,0,0.015,0.015,0,0,0,2145,2185,0,0,0,0,NA
351,0,30.424,28.622,0,0.015,0.015,0,0,0,2313,2176,0,0,0,0,NA
352,0,32.594,28.74,0,0.015,0.015,0,0,0,2478,2185,0,0,0,0,NA
353,0,8.997,31.384,0,0.015,0.015,0,0,0,684,2386,0,0,0,0,NA
354,1.902,0,0,5.438,2.144,1.129,132.836,0.808,2.319,722,2218,132.011,1.165,1.898,0.527,0.997
355,0,13.745,31.265,0,0.015,0.015,0,0,0,1045,2377,0,0,0,0,NA
356,0.81,0,0,3.446,1.273,0.81,39.445,0.857,1.418,1125,2459,37.082,0.846,1.571,0.637,1.001
357,2.135,0,0,5.731,2.108,1.289,143.131,0.817,2.278,1416,2395,143.924,1.334,1.636,0.611,0.995
358,0.829,0,0,3.55,1.29,0.818,65.427,0.827,1.448,1590,2375,65.298,0.825,1.578,0.634,0.991
359,1.873,0,0,5.467,2.21,1.079,155.867,0.787,2.302,1815,2373,150.945,1.131,2.048,0.488,0.99
360,0.303,0,0,2.107,0.761,0.507,50.32,0.857,0.811,1954.5,2398,48.945,0.513,1.5,0.666,0.992
361,0,27.859,31.055,0,0.015,0.015,0,0,0,2118,2361,0,0,0,0,NA
362,0,30.437,31.344,0,0.015,0.015,0,0,0,2314,2383,0,0,0,0,NA
363,0,32.331,31.239,0,0.015,0.015,0,0,0,2458,2375,0,0,0,0,NA
